CustomerID,CustomerName,Gender,Age,City,State,Segment
C0001,Customer 1,Male,37,Mumbai,Maharashtra,Consumer
C0002,Customer 2,Female,51,Hyderabad,Telangana,Home Office
C0003,Customer 3,Male,27,Hyderabad,Telangana,Corporate
C0004,Customer 4,Female,48,Pune,Maharashtra,Home Office
C0005,Customer 5,Female,38,Pune,Maharashtra,Home Office
C0006,Customer 6,Male,41,Mumbai,Maharashtra,Consumer
C0007,Customer 7,Male,55,Pune,Maharashtra,Consumer
C0008,Customer 8,Male,48,Hyderabad,Telangana,Home Office
C0009,Customer 9,Male,49,Pune,Maharashtra,Corporate
C0010,Customer 10,Male,43,Delhi,Delhi,Consumer
C0011,Customer 11,Female,39,Mumbai,Maharashtra,Consumer
C0012,Customer 12,Male,32,Hyderabad,Telangana,Home Office
C0013,Customer 13,Male,42,Bengaluru,Karnataka,Home Office
C0014,Customer 14,Female,53,Delhi,Delhi,Home Office
C0015,Customer 15,Female,39,Mumbai,Maharashtra,Home Office
C0016,Customer 16,Female,58,Hyderabad,Telangana,Consumer
C0017,Customer 17,Male,46,Hyderabad,Telangana,Corporate
C0018,Customer 18,Female,56,Mumbai,Maharashtra,Home Office
C0019,Customer 19,Male,49,Bengaluru,Karnataka,Home Office
C0020,Customer 20,Male,31,Delhi,Delhi,Home Office
C0021,Customer 21,Female,52,Hyderabad,Telangana,Home Office
C0022,Customer 22,Female,23,Pune,Maharashtra,Corporate
C0023,Customer 23,Female,31,Delhi,Delhi,Consumer
C0024,Customer 24,Male,21,Delhi,Delhi,Consumer
C0025,Customer 25,Male,46,Delhi,Delhi,Home Office
C0026,Customer 26,Female,50,Bengaluru,Karnataka,Corporate
C0027,Customer 27,Male,45,Delhi,Delhi,Home Office
C0028,Customer 28,Male,54,Delhi,Delhi,Home Office
C0029,Customer 29,Female,24,Mumbai,Maharashtra,Corporate
C0030,Customer 30,Male,53,Bengaluru,Karnataka,Corporate
C0031,Customer 31,Female,47,Hyderabad,Telangana,Corporate
C0032,Customer 32,Female,50,Pune,Maharashtra,Home Office
C0033,Customer 33,Male,32,Pune,Maharashtra,Home Office
C0034,Customer 34,Male,26,Delhi,Delhi,Home Office
C0035,Customer 35,Male,25,Bengaluru,Karnataka,Consumer
C0036,Customer 36,Female,21,Pune,Maharashtra,Corporate
C0037,Customer 37,Female,28,Mumbai,Maharashtra,Home Office
C0038,Customer 38,Female,39,Mumbai,Maharashtra,Consumer
C0039,Customer 39,Male,37,Mumbai,Maharashtra,Home Office
C0040,Customer 40,Female,39,Mumbai,Maharashtra,Corporate
C0041,Customer 41,Female,51,Bengaluru,Karnataka,Consumer
C0042,Customer 42,Female,45,Pune,Maharashtra,Corporate
C0043,Customer 43,Male,37,Hyderabad,Telangana,Consumer
C0044,Customer 44,Male,59,Bengaluru,Karnataka,Corporate
C0045,Customer 45,Male,22,Pune,Maharashtra,Corporate
C0046,Customer 46,Male,31,Mumbai,Maharashtra,Corporate
C0047,Customer 47,Female,55,Delhi,Delhi,Consumer
C0048,Customer 48,Female,35,Delhi,Delhi,Home Office
C0049,Customer 49,Female,57,Pune,Maharashtra,Corporate
C0050,Customer 50,Male,40,Hyderabad,Telangana,Consumer
C0051,Customer 51,Male,40,Mumbai,Maharashtra,Consumer
C0052,Customer 52,Female,40,Pune,Maharashtra,Home Office
C0053,Customer 53,Female,57,Mumbai,Maharashtra,Corporate
C0054,Customer 54,Male,56,Mumbai,Maharashtra,Consumer
C0055,Customer 55,Male,57,Delhi,Delhi,Corporate
C0056,Customer 56,Male,45,Mumbai,Maharashtra,Consumer
C0057,Customer 57,Male,34,Bengaluru,Karnataka,Home Office
C0058,Customer 58,Male,52,Hyderabad,Telangana,Consumer
C0059,Customer 59,Female,53,Hyderabad,Telangana,Corporate
C0060,Customer 60,Female,60,Pune,Maharashtra,Corporate
C0061,Customer 61,Male,31,Bengaluru,Karnataka,Consumer
C0062,Customer 62,Male,42,Bengaluru,Karnataka,Corporate
C0063,Customer 63,Female,27,Mumbai,Maharashtra,Corporate
C0064,Customer 64,Female,55,Delhi,Delhi,Corporate
C0065,Customer 65,Male,25,Delhi,Delhi,Home Office
C0066,Customer 66,Male,29,Pune,Maharashtra,Consumer
C0067,Customer 67,Male,38,Mumbai,Maharashtra,Corporate
C0068,Customer 68,Female,44,Delhi,Delhi,Corporate
C0069,Customer 69,Male,39,Bengaluru,Karnataka,Consumer
C0070,Customer 70,Female,29,Delhi,Delhi,Home Office
C0071,Customer 71,Male,41,Delhi,Delhi,Consumer
C0072,Customer 72,Male,45,Hyderabad,Telangana,Consumer
C0073,Customer 73,Female,28,Mumbai,Maharashtra,Home Office
C0074,Customer 74,Female,25,Delhi,Delhi,Home Office
C0075,Customer 75,Male,57,Delhi,Delhi,Consumer
C0076,Customer 76,Female,39,Bengaluru,Karnataka,Home Office
C0077,Customer 77,Male,50,Delhi,Delhi,Corporate
C0078,Customer 78,Male,39,Pune,Maharashtra,Consumer
C0079,Customer 79,Male,26,Delhi,Delhi,Corporate
C0080,Customer 80,Male,33,Pune,Maharashtra,Consumer
C0081,Customer 81,Female,31,Delhi,Delhi,Consumer
C0082,Customer 82,Male,36,Hyderabad,Telangana,Consumer
C0083,Customer 83,Female,45,Pune,Maharashtra,Home Office
C0084,Customer 84,Female,51,Bengaluru,Karnataka,Corporate
C0085,Customer 85,Male,41,Pune,Maharashtra,Consumer
C0086,Customer 86,Male,39,Pune,Maharashtra,Home Office
C0087,Customer 87,Female,49,Delhi,Delhi,Corporate
C0088,Customer 88,Female,25,Bengaluru,Karnataka,Consumer
C0089,Customer 89,Female,28,Bengaluru,Karnataka,Corporate
C0090,Customer 90,Female,43,Mumbai,Maharashtra,Corporate
C0091,Customer 91,Male,40,Mumbai,Maharashtra,Consumer
C0092,Customer 92,Female,26,Mumbai,Maharashtra,Corporate
C0093,Customer 93,Female,26,Pune,Maharashtra,Home Office
C0094,Customer 94,Female,35,Delhi,Delhi,Corporate
C0095,Customer 95,Male,41,Bengaluru,Karnataka,Consumer
C0096,Customer 96,Female,36,Bengaluru,Karnataka,Corporate
C0097,Customer 97,Male,36,Pune,Maharashtra,Consumer
C0098,Customer 98,Male,46,Pune,Maharashtra,Consumer
C0099,Customer 99,Male,25,Bengaluru,Karnataka,Consumer
C0100,Customer 100,Female,43,Pune,Maharashtra,Corporate
C0101,Customer 101,Male,27,Hyderabad,Telangana,Home Office
C0102,Customer 102,Male,53,Bengaluru,Karnataka,Home Office
C0103,Customer 103,Male,30,Mumbai,Maharashtra,Consumer
C0104,Customer 104,Female,27,Bengaluru,Karnataka,Home Office
C0105,Customer 105,Female,29,Delhi,Delhi,Consumer
C0106,Customer 106,Male,41,Mumbai,Maharashtra,Home Office
C0107,Customer 107,Male,32,Delhi,Delhi,Corporate
C0108,Customer 108,Male,24,Hyderabad,Telangana,Home Office
C0109,Customer 109,Female,25,Mumbai,Maharashtra,Home Office
C0110,Customer 110,Female,56,Hyderabad,Telangana,Corporate
C0111,Customer 111,Female,55,Delhi,Delhi,Corporate
C0112,Customer 112,Female,42,Pune,Maharashtra,Consumer
C0113,Customer 113,Female,22,Bengaluru,Karnataka,Home Office
C0114,Customer 114,Male,24,Hyderabad,Telangana,Home Office
C0115,Customer 115,Male,58,Bengaluru,Karnataka,Consumer
C0116,Customer 116,Female,38,Mumbai,Maharashtra,Corporate
C0117,Customer 117,Female,32,Delhi,Delhi,Home Office
C0118,Customer 118,Male,52,Pune,Maharashtra,Consumer
C0119,Customer 119,Female,53,Mumbai,Maharashtra,Home Office
C0120,Customer 120,Male,36,Hyderabad,Telangana,Corporate
