ProductID,ProductName,Category,SubCategory,CostPrice,SellingPrice
P001,Product 1,Electronics,Laptop,1851,2062
P002,Product 2,Electronics,Laptop,226,286
P003,Product 3,Furniture,Chair,2717,3551
P004,Product 4,Office Supplies,Paper,2452,2903
P005,Product 5,Furniture,Chair,1411,2784
P006,Product 6,Electronics,Laptop,349,430
P007,Product 7,Furniture,Chair,1289,2700
P008,Product 8,Office Supplies,Paper,567,1773
P009,Product 9,Furniture,Chair,2182,2498
P010,Product 10,Electronics,Laptop,3891,5276
P011,Product 11,Furniture,Chair,218,340
P012,Product 12,Office Supplies,Paper,598,1723
P013,Product 13,Electronics,Laptop,450,1060
P014,Product 14,Electronics,Laptop,3643,3879
P015,Product 15,Electronics,Laptop,326,1399
P016,Product 16,Office Supplies,Paper,1167,1788
P017,Product 17,Office Supplies,Paper,1672,3079
P018,Product 18,Furniture,Chair,3292,4017
P019,Product 19,Office Supplies,Paper,2295,2877
P020,Product 20,Office Supplies,Paper,2091,2643
P021,Product 21,Electronics,Laptop,4916,6175
P022,Product 22,Electronics,Laptop,2964,3891
P023,Product 23,Office Supplies,Paper,4689,6046
P024,Product 24,Office Supplies,Paper,598,1371
P025,Product 25,Office Supplies,Paper,3480,4632
P026,Product 26,Electronics,Laptop,4494,5412
P027,Product 27,Office Supplies,Paper,674,1271
P028,Product 28,Office Supplies,Paper,692,1257
P029,Product 29,Electronics,Laptop,891,1250
P030,Product 30,Electronics,Laptop,1765,2691
