SalesID	OrderID	ProductID	CustomerID	Quantity	SalesAmount	Profit
S00001	O00001	P003	C0164	5	17755	4170
S00002	O00002	P002	C0081	2	572	120
S00003	O00003	P025	C0102	4	18528	4608
S00004	O00004	P009	C0024	3	7494	948
S00005	O00005	P024	C0015	3	4113	2319
S00006	O00006	P026	C0098	1	5412	918
S00007	O00007	P018	C0129	2	8034	1450
S00008	O00008	P016	C0150	1	1788	621
S00009	O00009	P024	C0144	5	6855	3865
S00010	O00010	P013	C0095	5	5300	3050
S00011	O00011	P019	C0033	1	2877	582
S00012	O00012	P014	C0081	3	11637	708
S00013	O00013	P024	C0192	5	6855	3865
S00014	O00014	P030	C0082	3	8073	2778
S00015	O00015	P016	C0072	4	7152	2484
S00016	O00016	P026	C0149	1	5412	918
S00017	O00017	P028	C0148	3	3771	1695
S00018	O00018	P026	C0093	3	16236	2754
S00019	O00019	P018	C0088	5	20085	3625
S00020	O00020	P008	C0176	5	8865	6030
S00021	O00021	P020	C0187	1	2643	552
S00022	O00022	P004	C0183	2	5806	902
S00023	O00023	P021	C0135	1	6175	1259
S00024	O00024	P028	C0131	4	5028	2260
S00025	O00025	P026	C0182	3	16236	2754
S00026	O00026	P014	C0061	4	15516	944
S00027	O00027	P003	C0186	3	10653	2502
S00028	O00028	P013	C0198	5	5300	3050
S00029	O00029	P026	C0131	5	27060	4590
S00030	O00030	P007	C0002	3	8100	4233
S00031	O00031	P029	C0132	3	3750	1077
S00032	O00032	P014	C0133	5	19395	1180
S00033	O00033	P015	C0130	5	6995	5365
S00034	O00034	P001	C0163	4	8248	844
S00035	O00035	P030	C0073	1	2691	926
S00036	O00036	P015	C0069	3	4197	3219
S00037	O00037	P015	C0100	1	1399	1073
S00038	O00038	P001	C0038	2	4124	422
S00039	O00039	P014	C0074	3	11637	708
S00040	O00040	P011	C0111	4	1360	488
S00041	O00041	P014	C0184	1	3879	236
S00042	O00042	P024	C0059	1	1371	773
S00043	O00043	P004	C0199	4	11612	1804
S00044	O00044	P002	C0157	5	1430	300
S00045	O00045	P021	C0013	1	6175	1259
S00046	O00046	P009	C0176	2	4996	632
S00047	O00047	P021	C0174	1	6175	1259
S00048	O00048	P022	C0076	5	19455	4635
S00049	O00049	P004	C0123	2	5806	902
S00050	O00050	P017	C0043	3	9237	4221
S00051	O00051	P021	C0127	5	30875	6295
S00052	O00052	P001	C0027	3	6186	633
S00053	O00053	P025	C0077	1	4632	1152
S00054	O00054	P008	C0181	4	7092	4824
S00055	O00055	P018	C0105	5	20085	3625
S00056	O00056	P014	C0039	3	11637	708
